name,display_name,journal_id,abbrev_flag
大審院裁判例（法律新聞別冊）,大審院裁判例,JOURNAL-GZK2D8,0
裁判例,大審院裁判例,JOURNAL-GZK2D8,1
大本七十年史編纂会・第2次大本教事件に関する資料（二）,大本七十年史編纂会・第2次大本教事件に関する資料（二）,JOURNAL-8WD6PG,0
季刊不動産研究,不研,JOURNAL-U3X12M,0
不研,不研,JOURNAL-U3X12M,1
季刊人事行政,季人,JOURNAL-YFVU2L,0
季人,季人,JOURNAL-YFVU2L,1
季刊債権管理,債管,JOURNAL-2DNEA1,0
債管,債管,JOURNAL-2DNEA1,1
季刊刑事弁護,刑弁,JOURNAL-NZEN1M,0
刑弁,刑弁,JOURNAL-NZEN1M,1
季刊労働法,季労,JOURNAL-7LSFDY,0
季労,季労,JOURNAL-7LSFDY,1
季刊教育法,季教,JOURNAL-KOK4J1,0
季教,季教,JOURNAL-KOK4J1,1
学校事故・学生処分判例集,学校事故・学生処分判例集,JOURNAL-LB3ZMS,0
官報,官報,JOURNAL-EQPP3C,0
家庭の法と裁判,家判,JOURNAL-458KZ7,0
家判,家判,JOURNAL-458KZ7,1
家庭裁判所月報,家裁月報,JOURNAL-KER9XH,0
家裁月報,家裁月報,JOURNAL-KER9XH,1
家庭裁判月報,家月,JOURNAL-NF0YEZ,0
家月,家月,JOURNAL-NF0YEZ,1
家族〈社会と法〉,家族,JOURNAL-M6JSJC,0
家族,家族,JOURNAL-M6JSJC,1
審決公報,審決公報,JOURNAL-TPTMHZ,0
審決取消訴訟判決集,取消集,JOURNAL-N0U43D,0
取消集,取消集,JOURNAL-N0U43D,1
小関敏正「不正競業法判例集」［1967］,不競判,JOURNAL-NPS4ZD,0
不競判,不競判,JOURNAL-NPS4ZD,1
工業所有権法学会年報,工所法,JOURNAL-YG1PZC,0
工所法,工所法,JOURNAL-YG1PZC,1
年報医事法学,医事法,JOURNAL-UBPZBS,0
医事法,医事法,JOURNAL-UBPZBS,1
愛知学院大学宗教法制研究所紀要,愛知学院大学宗教法制研究所紀要,JOURNAL-F2J286,0
憲法問題,憲問,JOURNAL-M5EUVB,0
憲問,憲問,JOURNAL-M5EUVB,1
戸籍時報,戸時,JOURNAL-E9AEHI,0
戸時,戸時,JOURNAL-E9AEHI,1
手形研究,手形研究,JOURNAL-4M936E,0
控訴院上告刑事判例集,控上刑,JOURNAL-DX51N6,0
控上刑,控上刑,JOURNAL-DX51N6,1
控訴院上告民事判例集,控上民,JOURNAL-62QXZP,0
控上民,控上民,JOURNAL-62QXZP,1
推計の合理性に関する裁判例集成,推計裁集,JOURNAL-YJ9KPR,0
推計裁集,推計裁集,JOURNAL-YJ9KPR,1
損保企画,損保企画,JOURNAL-IV6WWQ,0
損害保険研究,損保,JOURNAL-KEBUHA,0
損保,損保,JOURNAL-KEBUHA,1
損保研究,損保,JOURNAL-KEBUHA,1
教職員人事関係裁判例集,教職員人事関係裁判例集,JOURNAL-6ZDWSO,0
教育裁判判例集Ⅱ,教育裁判判例集2,JOURNAL-G2PI8Z,0
教育裁判判例集II,教育裁判判例集2,JOURNAL-G2PI8Z,0
教育裁判判例集2,教育裁判判例集2,JOURNAL-G2PI8Z,0
新聞研究,新研,JOURNAL-JM6Y85,0
新研,新研,JOURNAL-JM6Y85,1
日仏法学,日仏,JOURNAL-O4YXJH,0
日仏,日仏,JOURNAL-O4YXJH,1
日本不動産学会誌,日不,JOURNAL-C2MUXS,0
日不,日不,JOURNAL-C2MUXS,1
日本労働法学会誌,学会誌労働法,JOURNAL-4BPT74,0
労働,学会誌労働法,JOURNAL-4BPT74,1
学会誌労働法,学会誌労働法,JOURNAL-4BPT74,1
日本労働研究雑誌,労研,JOURNAL-1JW3V4,0
労研,労研,JOURNAL-1JW3V4,1
日本国際経済法学会年報,国経法,JOURNAL-AXX5I5,0
国経法,国経法,JOURNAL-AXX5I5,1
日本政治裁判史録（昭和・前）,日本政治裁判史録（昭和・前）,JOURNAL-SNOQMZ,0
日本教育法学会年報,教法,JOURNAL-D36T23,0
教法,教法,JOURNAL-D36T23,1
日本経済法学会年報,経法,JOURNAL-FNY0MH,0
経法,経法,JOURNAL-FNY0MH,1
日本音楽著作権協会会報,日本音楽著作権協会会報,JOURNAL-2O2XK4,0
時の法令,時法,JOURNAL-MNCE9Q,0
時法,時法,JOURNAL-MNCE9Q,1
更生保護,更生,JOURNAL-FH8X8B,0
更生,更生,JOURNAL-FH8X8B,1
更生保護と犯罪予防,更犯,JOURNAL-SMEO68,0
更犯,更犯,JOURNAL-SMEO68,1
書研所報,書研,JOURNAL-B9JN9L,0
書研,書研,JOURNAL-B9JN9L,1
最新著作権関係判例集,著判,JOURNAL-M2XAD8,0
著判,著判,JOURNAL-M2XAD8,1
最高裁判所・高等裁判所民事判例要旨集,最高民要旨,JOURNAL-BJ4BPY,0
最高民要旨,最高民要旨,JOURNAL-BJ4BPY,1
最高裁判所刑事判例集,刑集,JOURNAL-AL9B7Z,0
大審院刑事判例集,刑集,JOURNAL-AL9B7Z,0
刑集,刑集,JOURNAL-AL9B7Z,1
最高裁判所民事判例集,民集,JOURNAL-SKVVDJ,0
大審院民事判例集,民集,JOURNAL-SKVVDJ,0
民集,民集,JOURNAL-SKVVDJ,1
最高裁判所裁判集（刑事）要旨集,最刑要旨,JOURNAL-DWWSE5,0
最刑要旨,最刑要旨,JOURNAL-DWWSE5,1
最高裁判所裁判集（民事）要旨集,最民要旨,JOURNAL-WIGYTZ,0
最民要旨,最民要旨,JOURNAL-WIGYTZ,1
最高裁判所裁判集刑事,集刑,JOURNAL-UT23P7,0
裁判集刑,集刑,JOURNAL-UT23P7,1
裁判集刑事,集刑,JOURNAL-UT23P7,1
集刑,集刑,JOURNAL-UT23P7,1
最高裁判所裁判集民事,集民,JOURNAL-HVNCXG,0
裁判集民,集民,JOURNAL-HVNCXG,1
裁判集民事,集民,JOURNAL-HVNCXG,1
集民,集民,JOURNAL-HVNCXG,1
月刊生徒指導,月刊生徒指導,JOURNAL-VDHZFG,0
月刊監査役,監査,JOURNAL-63LM8N,0
監査,監査,JOURNAL-63LM8N,1
朝鮮高等法院判決録,朝高録,JOURNAL-3OPVMD,0
朝高録,朝高録,JOURNAL-3OPVMD,1
東京高等裁判所判決時報　刑事,東高刑時報,JOURNAL-IY9LGB,0
東京高等裁判所判決時報刑事,東高刑時報,JOURNAL-IY9LGB,0
東京高等裁判所刑事判決時報,東高刑時報,JOURNAL-IY9LGB,0
東京高等裁判所（刑事）判決時報,東高刑時報,JOURNAL-IY9LGB,0
東高刑時報,東高刑時報,JOURNAL-IY9LGB,1
東高刑集時報,東高刑時報,JOURNAL-IY9LGB,1
東京高刑時報,東高刑時報,JOURNAL-IY9LGB,1
東高刑,東高刑時報,JOURNAL-IY9LGB,1
東高時報,東高刑時報,JOURNAL-IY9LGB,1
東高判時報,東高刑時報,JOURNAL-IY9LGB,1
東京高等裁判所判決時報　民事,東高民時報,JOURNAL-1LEJQY,0
東京高等裁判所判決時報民事,東高民時報,JOURNAL-1LEJQY,0
